instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I005,medium,baseline,1064,20,300,5,10,1.0,ok,,5.070078,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,10,1.2,ok,,5.126386,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,20,0.8,ok,,5.080252,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,20,1.0,ok,,5.128544,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,20,1.2,ok,,5.124436,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,50,0.8,ok,,5.083955,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,50,1.0,ok,,5.147074,INFEASIBLE,,58,60,240
medium/baseline/I005,medium,baseline,1064,20,300,5,50,1.2,ok,,5.095944,INFEASIBLE,,58,60,240
medium/baseline/I006,medium,baseline,1065,20,300,0,5,0.8,ok,,4.039309,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,5,1.0,ok,,4.055133,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,5,1.2,ok,,4.0301,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,10,0.8,ok,,4.013433,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,10,1.0,ok,,4.044766,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,10,1.2,ok,,4.033051,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,20,0.8,ok,,4.003293,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,20,1.0,ok,,4.020997,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,20,1.2,ok,,4.032327,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,50,0.8,ok,,4.034364,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,50,1.0,ok,,4.024477,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,0,50,1.2,ok,,4.018333,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,5,0.8,ok,,4.117639,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,5,1.0,ok,,4.138688,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,5,1.2,ok,,4.114814,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,10,0.8,ok,,4.124561,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,10,1.0,ok,,4.141874,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,10,1.2,ok,,4.067694,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,20,0.8,ok,,4.119828,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,20,1.0,ok,,4.121637,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,20,1.2,ok,,4.110455,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,50,0.8,ok,,4.10065,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,50,1.0,ok,,4.128306,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,2,50,1.2,ok,,4.1204,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,5,0.8,ok,,4.095384,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,5,1.0,ok,,4.092662,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,5,1.2,ok,,4.154583,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,10,0.8,ok,,4.149962,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,10,1.0,ok,,4.124444,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,10,1.2,ok,,4.109821,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,20,0.8,ok,,4.130346,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,20,1.0,ok,,4.090208,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,20,1.2,ok,,4.079544,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,50,0.8,ok,,4.12656,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,50,1.0,ok,,4.14508,INFEASIBLE,,60,51,204
medium/baseline/I006,medium,baseline,1065,20,300,5,50,1.2,ok,,4.089619,INFEASIBLE,,60,51,204
medium/baseline/I007,medium,baseline,1066,20,300,0,5,0.8,ok,,4.65447,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,5,1.0,ok,,4.714851,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,5,1.2,ok,,4.63574,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,10,0.8,ok,,4.658555,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,10,1.0,ok,,4.820998,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,10,1.2,ok,,4.707542,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,20,0.8,ok,,4.730645,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,20,1.0,ok,,4.706406,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,20,1.2,ok,,4.731006,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,50,0.8,ok,,4.669314,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,50,1.0,ok,,4.657949,INFEASIBLE,,59,57,228
medium/baseline/I007,medium,baseline,1066,20,300,0,50,1.2,ok,,4.727999,INFEASIBLE,,59,57,228
